Tanggal,Tweet Id,Teks,Username
2022-06-30 06:14:29+00:00,1542391100270575616,"@Dyaohoy Baik jika sudah normal kembali, terimakasih informasinya dan jaga kesehatan selalu ya kak. Agar semua makin mudah,  ayo download aplikasi New PLN Mobile, Tks -Yanti",pln_123
2022-06-30 06:05:33+00:00,1542388853465817088,"@VellyNo   Hi Kak Velly, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya Kak.

Admin menunggu konfirmasi lebih lanjut. Tks -Monica",pln_123
2022-06-30 05:51:00+00:00,1542385193679732736,"@Husnamaulidia1   Halo Kak Husna, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya Kak.

Admin menunggu konfirmasi lebih lanjut. Tks. -Monica",pln_123
2022-06-30 05:31:02+00:00,1542380167502643201,"@eseuteleu Petunjuk download PLN Mobile: https://t.co/NQJ69Zv1Oy
Petunjuk verifikasi akun: https://t.co/iL3xbW0vwT

Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store.

Terima kasih. -Monica",pln_123
2022-06-30 05:30:39+00:00,1542380072413573120,"@eseuteleu 3. Masukan nomor ID Pelanggan yang ingin dilakukan pengecekan dan klik periksa atau pilih ID Pelanggan yang sudah didaftarkan pada aplikasi PLN Mobile
 4. Klik Daftar Tagihan
 5. Klik pilih Tagihan",pln_123
2022-06-30 05:30:31+00:00,1542380035520479233,"@eseuteleu    Mimin informasikan berikut untuk melakukan pengecekan tagihan listrik melalui aplikasi PLN Mobile dengan langkah sbb:
 1. Buka aplikasi PLN Mobile
 2. Pilih Token &amp; Pembayaran",pln_123
2022-06-30 04:34:42+00:00,1542365990696062977,"@joy_alxndr   Mohon maaf atas ketidaknyamanannya Kak Joy, terkait permasalahan padamnya agar dapat kami tindak lanjuti mohon dapat mengirimkan melalui DM atau dapat juga melalui Aplikasi PLN Mobile ya. Tks -zulmi",pln_123
2022-06-30 04:23:11+00:00,1542363091815780352,"@chiciernest   Hai Kak, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya kak, admin menunggu konfirmasi lebih lanjut.

Terima kasih. -Monica",pln_123
2022-06-30 04:17:19+00:00,1542361613763637248,"@Dyaohoy Hi Kak, Mhn maaf atas gangguannya. Padam di Wilayah Tanah Baru, Beji, Depok akibat adanya gangguan salah satu komponen gardu dan saat ini masih penanganan. Mohon berkenan menunggu perbaikannya.  Agar semua makin mudah,  ayo download aplikasi New PLN Mobile, Tks -Yanti",pln_123
2022-06-30 04:03:53+00:00,1542358236833394688,"@lesyeuxdenads   Hai Kak, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya kak, admin menunggu konfirmasi lebih lanjut.

Terima kasih. -Monica",pln_123
2022-06-30 03:38:14+00:00,1542351780469944320,"@agus_jarot   Hai Kak Agus, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya kak, admin menunggu konfirmasi lebih lanjut.

Terima kasih. -Monica",pln_123
2022-06-30 03:32:45+00:00,1542350398031548416,"@Iesyeuxdelune   Mohon maaf atas ketidaknyamanannya Kak, saat ini masih dalam penanganan diupayakan agar segera teratasi. 

Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store.

Tks -zulmi",pln_123
2022-06-30 03:06:18+00:00,1542343742207979520,"@SaskiaA48479109 Hi Kak Saskia, Mhn maaf atas gangguannya. Padam di Wilayah Bojong Nangka akibat adanya pemeliharaan jaringan &amp; saat ini msh penanganan. Mohon berkenan menunggu perbaikannya.  Agar semua makin mudah,  ayo download aplikasi New PLN Mobile, Trims - Nita",pln_123
